"","CountryName","Year","scale20","ln_S_GDPpercapitaUS","S_RealGDPgrowth","S_GGbalanceGDP","S_NetGGdebtGDP","S_CurrentaccountbalanceGDP","S_NarrownetextdebtCARs","ISO2"
"1","Argentina",2015,1,9.47262993854506,-0.0854506177733667,-4.73080524785946,33.5561142888984,-2.28690993129413,124.356934585812,"AR"
"2","Argentina",2016,5,9.58851471137151,0.12495038569956,-5.16511343651212,45.1710468132383,-3.44691351044737,163.019857039081,"AR"
"3","Argentina",2017,7,9.42993526679963,-0.144891531922498,-7.47817538299335,48.2905062747569,-3.47497444551921,162.81517752933,"AR"
"4","Argentina",2018,6,9.55411481471244,0.134222723861614,-6.91576735208792,52.5152044524876,-5.73754640397848,202.328779664717,"AR"
"5","Argentina",2019,1,9.34138195392816,-0.190168745818337,-6.39327429825448,78.8266211851276,-6.08861682073328,191.157685360722,"AR"
"6","Australia",2015,20,11.0025090557624,-0.082151596376477,-4.0337179230951,17.5847047418948,-4.35123877072723,282.672727326603,"AU"
"7","Australia",2016,20,10.9035091321768,-0.0927127431863229,-3.2625351225803,19.0699490187942,-4.9720016406119,284.756245100788,"AU"
"8","Australia",2017,20,10.7743953513553,-0.118906052369744,-3.50720244008056,21.5354345573364,-6.0192787389545,337.780103518822,"AU"
"9","Australia",2018,20,10.8507543894236,0.0817063201080793,-3.31846066946874,22.1861168103128,-3.61295513449342,291.21206023137,"AU"
"10","Australia",2019,20,10.90826242787,0.0614228056292927,-2.36751684258036,23.9339338239176,-4.28402707500369,278.278497789782,"AU"
"11","Austria",2015,19,10.768341521026,0.0219622775876664,-5.44324876663845,92.2217232512886,-0.539274697344955,151.811535631826,"AT"
"12","Austria",2016,19,10.6148276207206,-0.144093437480567,-3.64791164791873,92.3241420861417,-1.19304100213212,161.718784111136,"AT"
"13","Austria",2017,19,10.6386250740333,0.0215758351580853,-4.11087324925677,88.6739502591952,-0.117860751897112,151.630049334506,"AT"
"14","Austria",2018,19,10.6882385214459,0.0487903163698301,-3.25810968137771,84.8226654689334,-1.23954418456149,162.547041874215,"AT"
"15","Austria",2019,19,10.7692016168282,0.0824992658199751,-2.27606812942438,81.6875642011708,-0.413544785406328,140.423268256065,"AT"
"16","Belgium",2015,18,10.8294287952577,0.0214406578790903,-3.06229199002988,98.765192949784,0.761419753005643,67.2369102171446,"BE"
