"","CountryName","Year","scale20","ln_S_GDPpercapitaUS","S_RealGDPgrowth","S_GGbalanceGDP","S_NetGGdebtGDP","S_CurrentaccountbalanceGDP","S_NarrownetextdebtCARs","ISO2"
"1","Argentina",2015,1,9.44870348331848,-0.0853500059351249,-5.41485255993413,37.249717813438,-3.01809850526419,137.05859808742,"AR"
"2","Argentina",2016,5,9.56553544618023,0.124809182974129,-5.84086499347725,48.8249592594488,-4.16514961964149,175.56417690612,"AR"
"3","Argentina",2017,7,9.40765314586357,-0.144732865315175,-8.15064678360746,51.9304218554346,-4.1859973799388,175.284753650023,"AR"
"4","Argentina",2018,6,9.53253107156145,0.134080446287671,-7.58425768770184,56.1363188069688,-6.44069034261624,214.70001813581,"AR"
"5","Argentina",2019,1,9.32007580709732,-0.189969874671777,-7.06651356177877,82.4745352008773,-6.79392017187046,203.585915710459,"AR"
"6","Australia",2015,20,10.962783383352,-0.0819930012049856,-5.43991080918935,24.9133562656022,-5.80266900908793,305.32220170146,"AU"
"7","Australia",2016,20,10.8633457072712,-0.0925319282941165,-4.68007156472997,26.4162457491366,-6.43790862628381,307.220040565137,"AU"
"8","Australia",2017,20,10.7348113480747,-0.118677694943542,-4.89986995831205,28.7068005760759,-7.46248304280741,359.439372943015,"AU"
"9","Australia",2018,20,10.8120151153319,0.0815528837714664,-4.67440214104369,29.119936760804,-5.02178636392016,311.878036623246,"AU"
"10","Australia",2019,20,10.8703614730002,0.0613100464251514,-3.68460057552602,30.6206196729318,-5.65674836255931,297.941419464278,"AU"
"11","Austria",2015,19,10.8194160225647,0.0220167995974717,-3.7045123263585,83.3516742798366,1.2796856876803,125.274548002683,"AT"
"12","Austria",2016,19,10.6626081457635,-0.144428231734168,-2.00000913016458,83.8658764839033,0.523491863777215,136.19262386532,"AT"
"13","Austria",2017,19,10.6833852104054,0.0216228111831429,-2.55128077634501,80.6314617479983,1.50130100287753,127.197523626154,"AT"
"14","Austria",2018,19,10.7305575932163,0.0488907712555709,-1.77271405691246,77.1379245578615,0.29898350403923,139.094759598945,"AT"
"15","Austria",2019,19,10.8096586526204,0.0826616760908933,-0.84853273271424,74.2838741910396,1.06253803506999,117.747478662161,"AT"
"16","Belgium",2015,18,10.7491804727807,0.0213544093579291,-3.74383681547175,102.157268640859,-0.11100915947844,78.4315590459232,"BE"
"17","Belgium",2016,18,10.5960358362006,-0.140750882925308,-3.12597171474513,100.790467992186,0.464159586793532,88.7422163095414,"BE"
"18","Belgium",2017,18,10.6194960675162,0.0249632082758403,-3.11011793334785,100.494838277081,-0.402647922243534,97.4711469476382,"BE"
"19","Belgium",2018,18,10.6705606036191,0.0533698496065282,-1.48879524541397,97.4599063296833,0.246590440765011,98.8780298453924,"BE"
"20","Belgium",2019,18,10.7392047606144,0.071690286805613,-1.53911853940783,96.0699102641309,-2.00513182675953,93.8785542265976,"BE"
"21","Brazil",2015,10,9.33148118844828,-0.0151306064925483,-7.84744373631926,55.187033488063,-6.39977741837437,65.7507839229742,"BR"
"22","Brazil",2016,9,9.01121691027025,-0.271327961068781,-12.1736153873894,60.7634520331606,-5.37903434466798,45.5831395984691,"BR"
"23","Brazil",2017,9,8.99851467859517,-0.0101549173764597,-11.0795913224055,63.8132029097224,-3.79873310226219,36.2071331272607,"BR"
"24","Brazil",2018,8,9.1252153724307,0.137049169905588,-9.96438742063629,68.2619154227395,-3.25740935058778,31.7233237405941,"BR"
"25","Brazil",2019,8,9.02580904348972,-0.0926041551651669,-9.38562925469249,69.459847657619,-4.79235795068075,30.4455766185584,"BR"
"26","Bulgaria",2015,10,8.9433804402416,0.0286819038281864,-5.98610422436823,20.1427694386773,0.499596770857595,5.65697036836882,"BG"
"27","Bulgaria",2016,10,8.83282620038499,-0.104424204159759,-2.26892996860255,20.8178284876426,-0.623556192519213,-7.27083112629628,"BG"
"28","Bulgaria",2017,11,8.89955539776592,0.0693766047179781,-0.479089282242422,19.7020057948262,2.4351255108444,-15.0830058708557,"BG"
"29","Bulgaria",2018,11,8.99788617289316,0.103962016396398,0.514150729274999,17.5215015113787,2.72651169182766,-20.6426402057139,"BG"
"30","Bulgaria",2019,12,9.12058729789266,0.131022593891538,1.15010060503646,15.5366349843961,4.57096132318392,-22.8320100885849,"BG"
"31","Canada",2015,20,10.7784557359611,-0.0333146973639238,-1.41489705596064,48.2253177349521,-4.27822421573453,128.486995758998,"CA"
"32","Canada",2016,20,10.6232475456025,-0.143172909054298,-1.66231007806292,49.5145968799692,-5.42577339882923,147.221062902694,"CA"
"33","Canada",2017,20,10.5949280853263,-0.0276061015149206,-2.02127601079562,50.6520742717358,-5.09490472941496,158.600819224594,"CA"
"34","Canada",2018,20,10.6583564544138,0.0654554901491817,-1.92702602474308,46.8825048313055,-4.71076127053085,151.306686076315,"CA"
"35","Canada",2019,20,10.6813055747398,0.0232077309454924,-2.00926277185366,46.4843385389738,-4.54303955957749,137.483941096289,"CA"
"36","Chile",2015,17,9.58565325852318,-0.0738205992553231,-1.70815749397019,1.62324174600348,-1.99062615289331,24.391737513129,"CL"
"37","Chile",2016,17,9.50871833885801,-0.074264924751289,-2.2950562606584,3.61794097905614,-2.6566369695294,31.9714705866766,"CL"
"38","Chile",2017,16,9.52184697261482,0.0131155765934425,-2.86391144577369,8.0422982845851,-1.91516200476766,28.1529491863054,"CL"
"39","Chile",2018,16,9.61162386639463,0.0938278114699563,-2.82306589986241,11.7681326035157,-2.48407178727593,37.4392815929394,"CL"
"40","Chile",2019,16,9.6692693088262,0.0590607121585012,-1.67009353307646,13.7735021096915,-3.40023368826411,45.231317849923,"CL"
"41","China",2015,17,8.89042601327284,0.0848260537441256,-1.88079356330141,18.5316416836026,0.732618642000273,-76.522736855891,"CN"
"42","China",2016,17,8.93708223707987,0.049935738090652,-3.67951711128563,69.1263869053713,1.15214850235381,-77.6601439486607,"CN"
"43","China",2017,16,8.94006696121376,0.00518361347751354,-4.23948493253071,66.0262868762291,0.130586102755713,-72.4248947429325,"CN"
"44","China",2018,16,9.01931393747394,0.0842717911798975,-3.91836323597161,58.7550793491934,-0.149575773319462,-57.1617565915803,"CN"
"45","China",2019,16,9.12775913504357,0.116019166146665,-4.42811119379639,60.7537083609281,-1.46040685685785,-43.7806971141101,"CN"
"46","Croatia",2015,9,9.4769058493625,-0.00307097958794942,-6.35495928622363,79.6871119512097,-1.10210876544375,116.250233915278,"HR"
"47","Croatia",2016,9,9.33478821629478,-0.133362124008763,-4.2826746881174,81.0073585436097,2.07207189391817,107.194290314883,"HR"
"48","Croatia",2017,9,9.38346282076786,0.0489369545435121,-2.04719315776649,79.4189330056967,1.07878364259259,87.2996166597751,"HR"
"49","Croatia",2018,10,9.4655568968764,0.0849261147862572,-0.123657361353122,76.4554159850546,2.69300144271156,74.027190540358,"HR"
