"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Delayed transition","SVK",-0.01610031936,-0.01639862961,-0.01595190072,-0.01542916769,-0.0146832779,-0.01346560193
"GCAM 6.0 NGFS","Delayed transition","SVN",-0.01452139892,-0.01397307297,-0.01278680197,-0.01159389227,-0.01049424634,-0.00934913488
"GCAM 6.0 NGFS","Delayed transition","ZAF",-0.0357192258,-0.03765124172,-0.03974501252,-0.04171037732,-0.04313129172,-0.04378977678
"GCAM 6.0 NGFS","Delayed transition","KOR",-0.01842678231,-0.01754252497,-0.01623654223,-0.01484416385,-0.0133864865,-0.01182675835
"GCAM 6.0 NGFS","Delayed transition","ESP",-0.03003767858,-0.03066586631,-0.03102776837,-0.03168424251,-0.03236256613,-0.03252104717
"GCAM 6.0 NGFS","Delayed transition","SWE",-0.018255177,-0.01893515662,-0.01953429414,-0.02007022386,-0.02056892873,-0.02091246497
"GCAM 6.0 NGFS","Delayed transition","CHE",-0.00600295891,-0.00515445191,-0.0039398592,-0.00261873028,-0.00136098559,-0.00010762148
"GCAM 6.0 NGFS","Delayed transition","TWN",-0.02152846453,-0.02042005827,-0.01906735368,-0.01767493482,-0.01617002469,-0.01434214646
"GCAM 6.0 NGFS","Delayed transition","TUR",-0.02681871236,-0.02742499925,-0.02805429744,-0.02887109902,-0.02970032277,-0.0303927916
"GCAM 6.0 NGFS","Delayed transition","GBR",-0.0127619878,-0.01246901069,-0.01186493593,-0.01122861569,-0.01062512874,-0.00999927696
"GCAM 6.0 NGFS","Delayed transition","USA",-0.04185423387,-0.04260877977,-0.04288967617,-0.04299982841,-0.04286007621,-0.04227519973
"GCAM 6.0 NGFS","Delayed transition","VNM",-0.04483299813,-0.04689579585,-0.04893037222,-0.05109340271,-0.05310985285,-0.05471285888
"GCAM 6.0 NGFS","Fragmented World",NA,-0.07044106761,-0.07408909935,-0.07805132569,-0.08225484891,-0.08649041782,-0.09055522467
"GCAM 6.0 NGFS","Fragmented World","ARG",-0.04148522829,-0.04327450219,-0.04488108257,-0.04638004911,-0.04797374848,-0.04969661964
"GCAM 6.0 NGFS","Fragmented World",NA,-0.0627014625,-0.06497782819,-0.06719513211,-0.06943618119,-0.07166989961,-0.07376186169
"GCAM 6.0 NGFS","Fragmented World","AUS",-0.04218846218,-0.04440309407,-0.04657568424,-0.04880198007,-0.05103167275,-0.05321536576
"GCAM 6.0 NGFS","Fragmented World","AUT",-0.03150285382,-0.03283527596,-0.0339780886,-0.03498038678,-0.03579441516,-0.03638654768
"GCAM 6.0 NGFS","Fragmented World","BEL",-0.01988257054,-0.02106036558,-0.02215825191,-0.02330219169,-0.02442238147,-0.02536320743
"GCAM 6.0 NGFS","Fragmented World","BRA",-0.05400478882,-0.05626475769,-0.05840202055,-0.06060973504,-0.06284562358,-0.06485852729
