"X","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95","model","scenario_","year"
2,"Australia","AU",20,17.5527983333333,16.7377478993683,18.3678487672983,0.528295218534761,0,0.750356595221249,2.6013835650696,0.799174936309528,2.93302473820248,-2.44720166666667,0.222061376686489,2.6013835650696,-3.26225210063166,0.270879717774768,2.93302473820248,"GCAM 6.0 NGFS","Below 2","30"
3,"Austria","AT",19,17.3166033333333,16.5757054279761,18.0575012386906,0.640457129391164,1.00324021516269,0.764929396028383,2.73080526654525,0.808664978635582,2.96488178338728,-1.68339666666667,0.124472266637218,1.72756505138256,-2.42429457202391,0.168207849244417,1.96164156822459,"GCAM 6.0 NGFS","Below 2","30"
4,"Belgium","BE",18,17.2304733333333,16.3893605127339,18.0715861539328,0.720901920982245,2.2670672729256,0.770124703798507,2.77071005030311,0.81966837446406,2.99044281967014,-0.769526666666668,0.049222782816262,0.503642777377507,-1.61063948726611,0.0987664534818148,0.723375546744535,"GCAM 6.0 NGFS","Below 2","30"
5,"Brazil","BR",8.8,7.411535,6.67022496718337,8.15284503281663,2.45676393977302,11.944320897897,3.2773962639936,19.6383848542442,3.81780680025986,25.1022765486713,-1.388465,0.820632324220584,7.69406395634719,-2.12977503281663,1.36104286048684,13.1579556507743,"GCAM 6.0 NGFS","Below 2","30"
6,"Bulgaria","BG",10.8,11.365735,10.6240990144278,12.1073709855722,1.64753048899489,5.6077084980296,1.48491649175217,4.61156753229238,1.70348671704511,5.97986495417834,0.565734999999998,-0.162613997242721,-0.996140965737219,-0.175900985572206,0.0559562280502195,0.372156456148737,"GCAM 6.0 NGFS","Below 2","30"
7,"Canada","CA",20,17.8833733333333,17.1436367715597,18.623109895107,0.528295218534761,0,0.728870148726218,2.36635512036017,0.775312905287284,2.80723418703494,-2.11662666666667,0.200574930191458,2.36635512036017,-2.85636322844033,0.247017686752524,2.80723418703494,"GCAM 6.0 NGFS","Below 2","30"
8,"Chile","CL",16.4,15.048725,13.8574787521715,16.2399712478285,0.819036042193129,2.98927803787558,0.909843079693223,2.95785886266563,1.02557004563114,2.92462723469295,-1.351275,0.0908070375000944,-0.0314191752099475,-2.54252124782851,0.206534003438008,-0.0646508031826301,"GCAM 6.0 NGFS","Below 2","30"
9,"China","CN",16.4,10.4563683333333,9.58237549996186,11.3303611667048,0.819036042193129,2.98927803787558,1.75935160165826,6.36433070553537,2.09267909824749,8.87770876622333,-5.94363166666666,0.940315559465129,3.37505266765979,-6.81762450003814,1.27364305605436,5.88843072834775,"GCAM 6.0 NGFS","Below 2","30"
10,"Croatia","HR",9.6,8.37957166666667,7.44074822560813,9.3183951077252,2.08522074183164,8.81797674987291,2.68053306706232,13.951245061351,3.25763038257086,19.4435729042271,-1.22042833333333,0.595312325230684,5.13326831147808,-2.15925177439187,1.17240964073922,10.6255961543542,"GCAM 6.0 NGFS","Below 2","30"
11,"Czech Republic","CZ",17,15.4684566666667,14.6254573335495,16.3114559997838,0.783809906904573,2.85987858509344,0.878520032134808,2.99250868757204,0.945770637264545,2.92450528713137,-1.53154333333333,0.0947101252302351,0.132630102478601,-2.37454266645048,0.161960730359972,0.064626702037927,"GCAM 6.0 NGFS","Below 2","30"
