"","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95"
"2","Australia","AU",20,17.7528933333333,16.9613723503171,18.5444143163496,0.528295218534761,0,0.737529873069095,2.4670692542239,0.786081407929427,2.87245619546755,-2.24710666666667,0.209234654534335,2.4670692542239,-3.03862764968293,0.257786189394667,2.87245619546755
"3","Austria","AT",19,17.6179216666667,16.8569456134967,18.3788977198367,0.640457129391164,1.00324021516269,0.746236695668234,2.56025526371374,0.792203571457283,2.90327097918453,-1.38207833333333,0.10577956627707,1.55701504855105,-2.14305438650335,0.151746442066118,1.90003076402184
"4","Belgium","BE",18,16.4697433333333,15.4843876007857,17.4550990658809,0.720901920982245,2.2670672729256,0.814904672879842,2.98078192994043,0.877401506373307,2.99362590684206,-1.53025666666667,0.0940027518975969,0.713714657014833,-2.51561239921427,0.156499585391062,0.726558633916454
"5","Brazil","BR",8.8,7.30898166666667,6.54757614178409,8.07038719154925,2.45676393977302,11.944320897897,3.34768293171469,20.3342537429262,3.91464502769851,26.1064388603121,-1.49101833333333,0.890918991941675,8.3899328450292,-2.25242385821591,1.45788108792549,14.1621179624151
"6","Bulgaria","BG",10.8,11.3324316666667,10.5702224386501,12.0946408946832,1.64753048899489,5.6077084980296,1.49378546019582,4.66220391980141,1.72116079546873,6.10015497183621,0.532431666666666,-0.153745028799073,-0.945504578228196,-0.229777561349897,0.0736303064738428,0.492446473806609
"7","Canada","CA",20,16.83798,16.0776047420656,17.5983552579344,0.528295218534761,0,0.793313430583427,2.90838262556483,0.838534831051202,3.01065311791822,-3.16202,0.265018212048666,2.90838262556483,-3.92239525793444,0.310239612516441,3.01065311791822
"8","Chile","CL",16.4,14.4389916666667,13.5323113520751,15.3456719812583,0.819036042193129,2.98927803787558,0.963257814051144,2.91481013807012,1.06630901622464,2.96892770426756,-1.96100833333333,0.144221771858015,-0.0744678998054553,-2.86768864792493,0.247272974031515,-0.0203503336080217
"9","China","CN",16.4,11.0731116666667,10.2212504474712,11.9249728858622,0.819036042193129,2.98927803787558,1.56580710579548,5.08994652931359,1.84191122390412,6.95399733169307,-5.32688833333333,0.746771063602353,2.10066849143801,-6.17874955252883,1.02287518171099,3.96471929381749
"10","Croatia","HR",9.6,8.83240666666667,7.96931357260559,9.69549976072774,2.08522074183164,8.81797674987291,2.44035780453691,11.8004674807448,2.91913855243516,16.1726616137784,-0.767593333333332,0.355137062705274,2.98249073087187,-1.63068642739441,0.833917810603518,7.35468486390545
"11","Czech Republic","CZ",17,15.1372516666667,14.3252201643823,15.949283168951,0.783809906904573,2.85987858509344,0.902915439352855,2.96561239635477,0.974484618122742,2.91134494126521,-1.86274833333333,0.119105532448283,0.105733811261331,-2.67477983561768,0.190674711218169,0.0514663561717725
"12","Denmark","DK",20,18.978685,18.1599560972935,19.7974139027065,0.528295218534761,0,0.642452277638428,1.03876186968631,0.70958086310127,2.11597494403199,-1.021315,0.114157059103667,1.03876186968631,-1.84004390270655,0.181285644566509,2.11597494403199
"13","Egypt","EG",5.4,5.43637,4.67600443116776,6.19673556883224,4.92983395861495,36.992483158093,4.89451667267554,36.6042346143793,5.6781209728982,45.3496218871439,0.0363699999999998,-0.0353172859394082,-0.388248543713672,-0.723995568832241,0.748287014283243,8.35713872905086
"14","Estonia","EE",17,15.0224716666667,14.2602672354416,15.7846760978918,0.783809906904573,2.85987858509344,0.911933718841763,2.95556528744288,0.981093409759842,2.91036206994313,-1.97752833333333,0.12812381193719,0.0956867023494397,-2.73973276455845,0.197283502855269,0.0504834848496927
"15","Finland","FI",19,18.0697166666667,17.1796080685184,18.959825264815,0.640457129391164,1.00324021516269,0.716026230543437,2.20338007129789,0.773169202647928,2.79254646042631,-0.930283333333332,0.075569101152273,1.20013985613519,-1.82039193148164,0.132712073256763,1.78930624526362
"16","France","FR",18,16.1704783333333,15.1480511127957,17.1929055538709,0.720901920982245,2.2670672729256,0.832835029860483,3.00726865323782,0.902082894151902,2.96655515154328,-1.82952166666667,0.111933108878239,0.740201380312214,-2.85194888720427,0.181180973169658,0.699487878617674
"17","Germany","DE",20,18.5321166666667,17.770458005366,19.2937753279673,0.528295218534761,0,0.681180473548762,1.69273530788325,0.736378746851207,2.45413179654989,-1.46788333333333,0.152885255014001,1.69273530788325,-2.22954199463398,0.208083528316447,2.45413179654989
"18","Greece","GR",5.8,7.02918166666667,5.98261002446306,8.07575330887027,4.55298049557823,32.8822847969495,3.54666473810826,22.3293492466562,4.38926199505211,31.1205224362784,1.22918166666667,-1.00631575746997,-10.5529355502933,0.182610024463061,-0.163718500526119,-1.76176236067115
"19","Hong Kong","HK",19.4,18.05747,17.296601290339,18.818338709661,0.600192516921849,0.258240247631818,0.716889093803158,2.2148071531839,0.766140763935304,2.7404066926965,-1.34253,0.116696576881309,1.95656690555208,-2.10339870966099,0.165948247013455,2.48216644506468
"20","Hungary","HU",11,11.2201466666667,10.4581861857394,11.9821071475939,1.58708246480164,5.22159971540106,1.52432045512156,4.84004409570078,1.75873277621854,6.36000507198212,0.220146666666666,-0.0627620096800821,-0.381555619700279,-0.54181381426058,0.171650311416899,1.13840535658106
"21","India","IN",11,5.72084333333333,4.96104787671738,6.48063878994929,1.58708246480164,5.22159971540106,4.62555375670145,33.6680359823196,5.37308922915117,41.9142093587528,-5.27915666666667,3.03847129189981,28.4464362669185,-6.03895212328262,3.78600676434953,36.6926096433518
"22","Indonesia","ID",10.8,6.91148666666667,6.15128034454094,7.6716929887924,1.64753048899489,5.6077084980296,3.63357527769194,23.2116763857268,4.24257197146707,29.5553856613562,-3.88851333333333,1.98604478869705,17.6039678876972,-4.64871965545906,2.59504148247218,23.9476771633266
"23","Ireland","IE",16.2,16.729405,15.9677604096983,17.4910495903017,0.83103896629781,3.00575050497685,0.799662790828253,2.9349003909432,0.845385304008843,3.01212859956254,0.529405000000001,-0.0313761754695578,-0.0708501140336466,-0.232239590301678,0.0143463377110327,0.00637809458569905
