"","country","ISO2","actual","est","est_lower","est_upper","cd_actual","pd_actual","cd_est","pd_est","cd_est_95","pd_est_95","rating_delta","cd_delta","pd_delta","rating_delta_95","cd_delta_95","pd_delta_95"
"2","Australia","AU",20,17.6310183333333,16.8860249744839,18.3760116921828,0.528295218534761,0,0.745402079395227,2.5516875450586,0.790500899365169,2.89514805475241,-2.36898166666667,0.217106860860466,2.5516875450586,-3.11397502551611,0.262205680830409,2.89514805475241
"3","Austria","AT",19,17.9691933333333,17.225269283938,18.7131173827287,0.640457129391164,1.00324021516269,0.723028971005746,2.29416599472626,0.770436943521581,2.77300230185733,-1.03080666666667,0.0825718416145815,1.29092577956357,-1.77473071606199,0.129979814130417,1.76976208669464
"4","Belgium","BE",18,17.2663216666667,16.4473669985756,18.0852763347578,0.720901920982245,2.2670672729256,0.767968844904138,2.7545546848751,0.816227737735443,2.98367290927285,-0.733678333333334,0.0470669239218929,0.487487411949502,-1.55263300142442,0.0953258167531986,0.716605636347253
"5","Brazil","BR",8.8,7.18486166666667,6.44020130760232,7.92952202573102,2.45676393977302,11.944320897897,3.43463805605412,21.2016798499676,4.00121163551987,27.0098172101801,-1.61513833333333,0.977874116281108,9.25735895207061,-2.35979869239768,1.54444769574685,15.0654963122831
"6","Bulgaria","BG",10.8,11.3562116666667,10.6114203424368,12.1010029908965,1.64753048899489,5.6077084980296,1.48744394893232,4.62594999224776,1.70762310597757,6.00790287214046,0.556211666666666,-0.16008654006257,-0.981758505781841,-0.188579657563217,0.0600926169826781,0.400194374110853
"7","Canada","CA",20,17.444575,16.7003787636458,18.1887712363542,0.528295218534761,0,0.757100029214133,2.66443431407387,0.801360425788558,2.94122170899408,-2.555425,0.228804810679373,2.66443431407387,-3.29962123635418,0.273065207253798,2.94122170899408
"8","Chile","CL",16.4,15.189705,13.9083214834589,16.4710885165411,0.819036042193129,2.98927803787558,0.8988965974374,2.97017324786668,1.01960642032226,2.92060650031301,-1.210295,0.079860555244271,-0.0191047900088961,-2.49167851654108,0.200570378129133,-0.0686715375625653
"9","China","CN",16.4,10.9312833333333,10.0459832571222,11.8165834095445,0.819036042193129,2.98927803787558,1.60747703236038,5.34992263471091,1.90678089004757,7.43368702322402,-5.46871666666667,0.788440990167247,2.36064459683533,-6.35401674287781,1.08774484785444,4.44440898534845
"10","Croatia","HR",9.6,9.24837,8.44425811933499,10.052481880665,2.08522074183164,8.81797674987291,2.24009140117712,10.0855584786181,2.64476281968425,13.6251209350177,-0.35163,0.154870659345476,1.26758172874516,-1.15574188066501,0.559542077852605,4.80714418514483
"11","Czech Republic","CZ",17,15.5706383333333,14.7368604451717,16.404416221495,0.783809906904573,2.85987858509344,0.871424212902593,2.99924671325556,0.935831868905351,2.93215367099727,-1.42936166666667,0.0876143059980198,0.139368128162118,-2.26313955482834,0.152021962000778,0.0722750859038257
"12","Denmark","DK",20,19.16086,18.416223711504,19.905496288496,0.528295218534761,0,0.62492575402481,0.721802289280504,0.69036273051527,1.83576239786873,-0.83914,0.0966305354900499,0.721802289280504,-1.58377628849604,0.16206751198051,1.83576239786873
"13","Egypt","EG",5.4,5.39254166666667,4.64889032310879,6.13619301022454,4.92983395861495,36.992483158093,4.93710272778824,37.0724648368203,5.70785662366934,45.6864693336702,-0.00745833333333401,0.00726876917329022,0.0799816787273144,-0.751109676891208,0.77802266505439,8.69398617557718
"14","Estonia","EE",17,15.2029316666667,14.4558283086354,15.950035024698,0.783809906904573,2.85987858509344,0.897892976600413,2.97131426971481,0.961633141741888,2.91549499717719,-1.79706833333333,0.11408306969584,0.11143568462137,-2.54417169136465,0.177823234837315,0.0556164120837508
"15","Finland","FI",19,18.4933533333333,17.6574675255786,19.329239141088,0.640457129391164,1.00324021516269,0.684288114757609,1.7417428802737,0.743710073624715,2.53407770338904,-0.506646666666665,0.0438309853664443,0.738502665111014,-1.34253247442136,0.103252944233551,1.53083748822635
"16","France","FR",18,16.6471266666667,15.7157666041814,17.578486729152,0.720901920982245,2.2670672729256,0.804477145374137,2.9520086355206,0.861645907566237,3.0067555002102,-1.35287333333333,0.0835752243918922,0.684941362594998,-2.28423339581863,0.140743986583992,0.739688227284603
"17","Germany","DE",20,19.3204616666667,18.5775045093757,20.0634188239576,0.528295218534761,0,0.608646586790487,0.418571891041609,0.677493787886754,1.63383608208238,-0.679538333333333,0.0803513682557266,0.418571891041609,-1.42249549062429,0.149198569351994,1.63383608208238
"18","Greece","GR",5.8,7.11297,5.97298452925403,8.25295547074597,4.55298049557823,32.8822847969495,3.48595867720766,21.7168948098723,4.3977636771001,31.211628445481,1.31297,-1.06702181837057,-11.1653899870772,0.172984529254034,-0.155216818478134,-1.67065635146853
"19","Hong Kong","HK",19.4,18.1260316666667,17.3818938910993,18.8701694422341,0.600192516921849,0.258240247631818,0.712022279303381,2.14950090721686,0.76095281309289,2.69802449337899,-1.27396833333333,0.111829762381532,1.89126065958504,-2.01810610890073,0.160760296171041,2.43978424574718
"20","Hungary","HU",11,11.4512666666667,10.6979127806927,12.2046205526407,1.58708246480164,5.22159971540106,1.4625263854361,4.48585391125677,1.67968211176978,5.81989663274097,0.451266666666667,-0.124556079365541,-0.735745804144294,-0.302087219307317,0.0925996469681403,0.598296917339908
"21","India","IN",11,5.98113666666667,5.23861946453046,6.72365386880287,1.58708246480164,5.22159971540106,4.39056241432584,31.1344552791126,5.08912399230482,38.7509612189539,-5.01886333333333,2.8034799495242,25.9128555637115,-5.76138053546954,3.50204152750318,33.5293615035528
"22","Indonesia","ID",10.8,8.07160666666667,7.32277404635786,8.82043928697547,1.64753048899489,5.6077084980296,2.85771898893018,15.5935813885487,3.33814836384725,20.2395756274875,-2.72839333333333,1.21018849993529,9.98587289051915,-3.47722595364214,1.69061787485236,14.6318671294579
"23","Ireland","IE",16.2,16.6720116666667,15.927251209569,17.4167721237643,0.83103896629781,3.00575050497685,0.80302023395227,2.94709683755218,0.84794502828057,3.012038283268,0.472011666666667,-0.0280187323455402,-0.0586536674246645,-0.272748790430951,0.0169060619827591,0.00628777829115279
"24","Italy","IT",11.6,12.0246216666667,11.1434710037501,12.9057723295832,1.42489871566851,4.28174585806536,1.32622870335323,3.79418438978855,1.54573999199271,4.96791509805063,0.424621666666667,-0.0986700123152766,-0.487561468276809,-0.456528996249872,0.120841276324196,0.686169239985261
"25","Japan","JP",16,14.9759166666667,14.1558761120681,15.7959572212652,0.843361400754689,3.01196315014471,0.915683045863946,2.95152560813122,0.992030312647134,2.9104903876764,-1.02408333333333,0.0723216451092579,-0.0604375420134886,-1.84412388793185,0.148668911892445,-0.101472762468305
"26","Korea","KR",17.8,16.8738566666667,16.0859221004105,17.6617912329228,0.734432692585121,2.43194154705552,0.791213544380959,2.8985894260228,0.838021130483146,3.01043303449782,-0.926143333333336,0.0567808517958374,0.466647878967279,-1.71407789958947,0.103588437898025,0.578491487442307
"27","Latvia","LV",14.4,12.5086833333333,11.4378630277292,13.5795036389375,0.967056350141692,2.91338816042666,1.22846309262855,3.39242970441303,1.46599849357011,4.50514614178317,-1.89131666666667,0.261406742486855,0.479041543986369,-2.9621369722708,0.498942143428417,1.59175798135651
"28","Lithuania","LT",14.4,13.084925,12.3095695240858,13.8602804759142,0.967056350141692,2.91338816042666,1.13037792857699,3.09334126606234,1.26687484342195,3.53936083873373,-1.315075,0.163321578435294,0.179953105635676,-2.09043047591424,0.299818493280256,0.625972678307065
"29","Malaysia","MY",14,9.5101,8.73698069165433,10.2832193083457,1.00911616662453,2.91510803281166,2.12359638391656,9.1267924062318,2.48900794434077,12.2284239389524,-4.4899,1.11448021729202,6.21168437342014,-5.26301930834567,1.47989177771624,9.31331590614073
"30","Mexico","MX",13,9.0609,8.27162357117197,9.85017642882803,1.14368006583737,3.12674634738443,2.32800575886907,10.8286627208517,2.74133573263151,14.5098996110979,-3.9391,1.18432569303171,7.70191637346732,-4.72837642882803,1.59765566679414,11.3831532637135
"31","Netherlands","NL",20,19.06999,18.1814230634199,19.9585569365801,0.528295218534761,0,0.633803776161423,0.883709396070401,0.708024224764417,2.09433984368204,-0.930009999999999,0.105508557626663,0.883709396070401,-1.81857693658006,0.179729006229656,2.09433984368204
"32","New Zealand","NZ",18,18.010485,17.267764831338,18.753205168662,0.720901920982245,2.2670672729256,0.7201742074636,2.2576993479214,0.767881867825647,2.75389087132885,0.0104849999999992,-0.000727713518644535,-0.0093679250041987,-0.73223516866198,0.0469799468434021,0.486823598403248
"33","Norway","NO",20,19.4376933333333,18.6941135725653,20.1812730941014,0.528295218534761,0,0.596103948989013,0.180071053761594,0.667775901654438,1.4748683612512,-0.562306666666668,0.0678087304542524,0.180071053761594,-1.30588642743469,0.139480683119678,1.4748683612512
"34","Poland","PL",13.6,12.3192066666667,11.5159603269625,13.1224530063708,1.05744549490216,2.95685034492766,1.26495894775912,3.53168017498916,1.44595767410003,4.3948432250077,-1.28079333333333,0.207513452856962,0.574829830061503,-2.08403967303745,0.38851217919787,1.43799288008005
"35","Portugal","PT",10.8,9.28769333333333,8.14242004167007,10.4329666249966,1.64753048899489,5.6077084980296,2.22212896685299,9.93573193391196,2.81595703982089,15.202623255343,-1.51230666666667,0.574598477858103,4.32802343588236,-2.65757995832993,1.168426550826,9.59491475731335
"36","Romania","RO",11,8.81473,8.06909627301659,9.56036372698341,1.58708246480164,5.22159971540106,2.44929208681982,11.8787463305385,2.85921079889849,15.6075893734439,-2.18527,0.862209622018182,6.65714661513742,-2.93090372698341,1.27212833409685,10.3859896580428
"37","Russia","RU",10.4,9.637175,8.89221183393907,10.3821381660609,1.77868735415734,6.50021618048849,2.06959235370915,8.69327058546009,2.41039070232778,11.5389572434014,-0.762825000000001,0.290904999551816,2.1930544049716,-1.50778816606093,0.631703348170446,5.03874106291287
"38","Singapore","SG",20,19.093125,18.3495209128724,19.8367290871276,0.528295218534761,0,0.631569531769427,0.843214421270716,0.695503471446721,1.91338930718854,-0.906874999999999,0.103274313234666,0.843214421270716,-1.65047908712764,0.16720825291196,1.91338930718854
"39","Slovakia","SK",16,13.0437933333333,12.1765136301532,13.9110730365134,0.843361400754689,3.01196315014471,1.13677302873257,3.10909652829821,1.29393186886809,3.65156454171314,-2.95620666666667,0.293411627977885,0.0971333781535009,-3.82348636984676,0.450570468113398,0.639601391568434
"40","Slovenia","SI",15.6,13.6981833333333,12.4917881737383,14.9045784929283,0.869418570760146,3.0009782226318,1.04495292318887,2.94209987039385,1.2316279569718,3.40395785507938,-1.90181666666667,0.175534352428727,-0.0588783522379543,-3.10821182626165,0.362209386211656,0.402979632447583
"41","South Africa","ZA",9.8,7.618235,6.87493013974701,8.36153986025299,2.00277633147246,8.16733767699889,3.13995359921603,18.292068278755,3.66096283180572,23.4910208291634,-2.181765,1.13717726774358,10.1247306017561,-2.92506986025299,1.65818650033326,15.3236831521645
"42","Spain","ES",13.6,11.683085,10.7700847435841,12.5960852564159,1.05744549490216,2.95685034492766,1.40458734459358,4.17550765838701,1.65686012066204,5.66881081783878,-1.916915,0.347141849691417,1.21865731345935,-2.82991525641588,0.599414625759882,2.71196047291112
"43","Sweden","SE",20,18.9573866666667,18.2057077404702,19.7090655928632,0.528295218534761,0,0.644431609843876,1.07384896704923,0.706252086365125,2.06946886263188,-1.04261333333333,0.116136391309116,1.07384896704923,-1.79429225952984,0.177956867830364,2.06946886263188
"44","Switzerland","CH",20,19.6985183333333,18.954630472222,20.4424061944446,0.528295218534761,0,0.566295003497264,0,0.644686718818932,1.0783599509827,-0.301481666666668,0.037999784962503,0,-1.04536952777797,0.116391500284171,1.0783599509827
"45","Taiwan","TW",17,16.30092,15.5572936574452,17.0445463425548,0.783809906904573,2.85987858509344,0.824949466678973,2.99883635510358,0.872340561091979,2.99842761449543,-0.699080000000002,0.0411395597744002,0.138957770010137,-1.44270634255482,0.0885306541874061,0.138549029401986
"46","Turkey","TR",8.4,7.82056,7.03872139113758,8.60239860886242,2.66918306776931,13.8475580536555,3.01078678633622,17.0454231343181,3.53970431793094,22.2589636407506,-0.579440000000001,0.341603718566908,3.19786508066264,-1.36127860886242,0.870521250161627,8.41140558709513
"47","United Kingdom","GB",18.4,17.4134016666667,16.5176823892709,18.3091209440625,0.69162251858747,1.8549545232066,0.759020669186018,2.68140297417185,0.812076951249217,2.97404798768295,-0.986598333333333,0.0673981505985479,0.826448450965245,-1.88231761072914,0.120454432661747,1.11909346447635
"48","United States","US",19,17.103695,15.5280786431012,18.6793113568988,0.640457129391164,1.00324021516269,0.777685079533152,2.82282527958785,0.874357367415428,2.99656770309539,-1.896305,0.137227950141988,1.81958506442515,-3.47192135689884,0.233900238024264,1.9933274879327
"49","Vietnam","VN",8.2,6.22968166666667,5.48618195027772,6.97318138305562,2.78245156280456,14.8906409939288,4.17584913295791,28.8478748043997,4.8464911323753,36.0772614210725,-1.97031833333333,1.39339757015335,13.9572338104709,-2.71381804972228,2.06403956957073,21.1866204271437
