Model,Scenario,Category,Policy_category
REMIND 1.7,CEMICS-1.5-CDR8,C1,P2
REMIND 1.7,CEMICS-2.0-CDR12,C2,P2
REMIND 1.7,CEMICS-2.0-CDR20,C2,P2
REMIND 1.7,CEMICS-2.0-CDR8,C1,P2
REMIND 1.7,CEMICS-Ref,C7,P1
REMIND 2.1,CEMICS_GDPgrowth_1p5,C1,P2a
REMIND 2.1,CEMICS_GDPgrowth_2C,C3,P2a
REMIND 2.1,CEMICS_HotellingConst_1p5,C1,P2a
REMIND 2.1,CEMICS_HotellingConst_2C,C3,P2a
REMIND 2.1,CEMICS_Linear_1p5,C1,P2a
REMIND 2.1,CEMICS_Linear_2C,C3,P2a
REMIND 2.1,CEMICS_NPI,C7,P1b
REMIND 2.1,CEMICS_opt_1p5,C1,P2a
REMIND 2.1,CEMICS_opt_2C,C3,P2a
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP1_P50,C6,P1a
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP2_P50,C7,P1a
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP1_P50,C6,P1a
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP2_P50,C7,P1a
REMIND 2.1,LeastTotalCost_CBA_brkLR15_SSP2_P50,C3,P4
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,C3,P4
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,C3,P2a
REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50,C3,P2a
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP1_P50,C1,P2c
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP2_P50,C3,P2c
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP5_P50,C3,P2c
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP1_P50,C2,P2c
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP2_P50,C3,P2c
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP5_P50,C3,P2c
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,C5,P1c
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,C5,P1c
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,C5,P1b
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP2_P50,C7,P1b
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,C5,P1b
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP2_P50,C7,P1b
REMIND 2.1,R2p1_SSP1-Base,C6,P1a
REMIND 2.1,R2p1_SSP1-NDC,C5,P1c
REMIND 2.1,R2p1_SSP1-NPi,C5,P1b
REMIND 2.1,R2p1_SSP1-PkBudg1100,C2,P2a
REMIND 2.1,R2p1_SSP1-PkBudg1300,C2,P2a
REMIND 2.1,R2p1_SSP1-PkBudg900,C1,P2a
REMIND 2.1,R2p1_SSP2-Base,C7,P1a
REMIND 2.1,R2p1_SSP2-NDC,C5,P1c
REMIND 2.1,R2p1_SSP2-NPi,C7,P1b
REMIND 2.1,R2p1_SSP2-PkBudg1100,C3,P2a
REMIND 2.1,R2p1_SSP2-PkBudg1300,C3,P2a
REMIND 2.1,R2p1_SSP2-PkBudg900,C1,P2a
REMIND 2.1,R2p1_SSP5-NDC,C7,P1c
REMIND 2.1,R2p1_SSP5-PkBudg1100,C2,P2a
REMIND 2.1,R2p1_SSP5-PkBudg1300,C3,P2a
REMIND 2.1,R2p1_SSP5-PkBudg900,C1,P2a
REMIND 2.1,TechCost-SSP2-B1100-bioH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-ccsH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-coalH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-elh2H,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-gasH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-nucH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-oilH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-spvH,C3,P2a
REMIND 2.1,TechCost-SSP2-B1100-windH,C3,P2a
REMIND-Buildings 2.0,BEG-Base,C7,P1a
REMIND-Buildings 2.0,BEG-Budg600,C2,P2
REMIND-Buildings 2.0,BEG-Budg600-EG,C2,P2c
REMIND-Buildings 2.0,BEG-EG,C7,P1d
REMIND-MAgPIE 1.5,SSP1-19,C2,P2a
REMIND-MAgPIE 1.5,SSP1-26,C4,P2a
REMIND-MAgPIE 1.5,SSP1-34,C5,P2a
REMIND-MAgPIE 1.5,SSP1-45,C6,P2a
REMIND-MAgPIE 1.5,SSP1-Baseline,C7,P1a
REMIND-MAgPIE 1.5,SSP2-19,C1,P2a
REMIND-MAgPIE 1.5,SSP2-26,C3,P2a
REMIND-MAgPIE 1.5,SSP2-34,C5,P2a
REMIND-MAgPIE 1.5,SSP2-45,C6,P2a
REMIND-MAgPIE 1.5,SSP2-60,C7,P2a
REMIND-MAgPIE 1.5,SSP2-Baseline,C7,P1a
REMIND-MAgPIE 1.5,SSP5-19,C2,P2a
REMIND-MAgPIE 1.5,SSP5-26,C4,P2a
REMIND-MAgPIE 1.5,SSP5-34,C5,P2a
REMIND-MAgPIE 1.5,SSP5-45,C6,P2a
REMIND-MAgPIE 1.5,SSP5-60,C7,P2a
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,C2,P3b
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600,C4,P3b
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,C2,P3b
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDCi,C7,P1c
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000,C3,P3b
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi,C7,P1b
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,C2,P2a
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,C4,P2a
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,C1,P2a
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NoPolicy,C7,P1a
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,C2,P2a
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,C2,P3b
REMIND-MAgPIE 1.7-3.0,CO_BAU,C7,P1a
REMIND-MAgPIE 1.7-3.0,CO_Bridge,C2,P3c
REMIND-MAgPIE 1.7-3.0,CO_CurPol,C7,P1b
REMIND-MAgPIE 1.7-3.0,CO_GPP,C5,P1d
REMIND-MAgPIE 1.7-3.0,CO_NDCplus,C7,P1c
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,C2,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,C2,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,C1,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100,C4,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_full,C5,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nobeccs,C4,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel,C4,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_none,C4,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none,C3,P2b
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full,C3,P2a
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_none,C4,P2a
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_full,C5,P2a
REMIND-MAgPIE 1.7-3.0,EMF33_tax_lo_none,C5,P2a
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,C2,P3b
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,C1,P2
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,C2,P3c
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,C2,P3c
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1,P2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,C2,P3b
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,C2,P2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,C2,P3c
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,C2,P3c
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,C2,P3b
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,C1,P2
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,C2,P3c
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,C2,P3c
REMIND-MAgPIE 1.7-3.0,PEP_NDC,C7,P1c
REMIND-MAgPIE 1.7-3.0,PEP_NPi,C7,P1b
REMIND-MAgPIE 1.7-3.0,PEP_NoPolicy,C7,P1a
REMIND-MAgPIE 1.7-3.0,PEP_goodpractice,C6,P1d
REMIND-MAgPIE 1.7-3.0,PEP_netzero,C5,P1d
REMIND-MAgPIE 1.7-3.0,SMP_2C_lifesty,C1,P2
REMIND-MAgPIE 1.7-3.0,SMP_REF_Def,C7,P1
REMIND-MAgPIE 1.7-3.0,SMP_REF_Sust,C7,P1
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def,C3,P2b
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,C3,P2a
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,C3,P2b
REMIND-MAgPIE 2.0-4.1,Diff_No-policy_baseline,C7,P1a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,C1,P2a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,C1,P2a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-Npi,C6,P1b
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1,P2a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,C1,P2a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR,C3,P2a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-minCDR,C3,P2a
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-Npi,C7,P1b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV_NDCp,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_NDCp,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400,C4,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400f,C4,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1600,C5,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1600f,C5,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800,C5,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1800f,C5,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000,C5,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2000f,C5,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2500,C6,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_2500f,C6,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_3000,C6,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_3000f,C6,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,C2,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900f,C3,P3b
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100,C5,P1c
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV,C5,P1c
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_COV_NDCp,C5,P1c
REMIND-MAgPIE 2.1-4.2,EN_INDCi2100_NDCp,C5,P1c
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000_COV,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200f,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400,C4,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400f,C4,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600,C4,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600f,C4,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1800,C5,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1800f,C5,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2000,C5,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2000f,C5,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2500,C6,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_2500f,C6,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_3000,C6,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_3000f,C6,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,C2,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,C2,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,C1,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800f,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900f,C3,P2a
REMIND-MAgPIE 2.1-4.2,EN_NPi2100,C7,P1b
REMIND-MAgPIE 2.1-4.2,EN_NPi2100_COV,C7,P1b
REMIND-MAgPIE 2.1-4.2,EN_NoPolicy,C7,P1a
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C,C3,P2
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C - IPD-95th,C3,P2
REMIND-MAgPIE 2.1-4.2,NGFS2_Below 2°C - IPD-median,C3,P2
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies,C7,P1b
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-95th,C7,P1b
REMIND-MAgPIE 2.1-4.2,NGFS2_Current Policies - IPD-median,C7,P1b
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,C3,P3a
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,C1,P2c
REMIND-MAgPIE 2.1-4.2,NGFS2_Nationally Determined Contributions (NDCs),C5,P1c
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,C1,P2c
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-95th,C1,P2c
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,C1,P2c
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-NPi,C5,P1d
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,P2c
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NDC,C5,P1c
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,C5,P1b
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,C1,P2a
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,C5,P1c
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,C7,P1b
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,C1,P2a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,C3,P2a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1300,C3,P2a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,P2a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Base,C7,P1a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_Npi,C7,P1b
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,C2,P2a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,C3,P2a
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,C1,P2a
REMIND-Transport 2.1,Transport_Budg1100_Conv,C3,P2a
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,C3,P2a
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,C3,P2a
REMIND-Transport 2.1,Transport_Budg1100_ElecPush,C3,P2a
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,C3,P2a
REMIND-Transport 2.1,Transport_Budg1100_H2Push,C3,P2a
REMIND-Transport 2.1,Transport_NDC_Conv,C6,P1c
REMIND-Transport 2.1,Transport_NPi_Conv,C7,P1b
TIAM-ECN 1.1,EN_INDCi2030_1000,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1000_COV,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1000_NDCp,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1000f,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1000f_COV,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1000f_NDCp,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1200,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1200f,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_1400,C4,P3b
TIAM-ECN 1.1,EN_INDCi2030_1400f,C4,P3b
TIAM-ECN 1.1,EN_INDCi2030_1600,C4,P3b
TIAM-ECN 1.1,EN_INDCi2030_1600f,C5,P3b
TIAM-ECN 1.1,EN_INDCi2030_2000,C5,P3b
TIAM-ECN 1.1,EN_INDCi2030_2000f,C5,P3b
TIAM-ECN 1.1,EN_INDCi2030_2500,C5,P3b
TIAM-ECN 1.1,EN_INDCi2030_2500f,C5,P3b
TIAM-ECN 1.1,EN_INDCi2030_3000,C6,P3b
TIAM-ECN 1.1,EN_INDCi2030_3000f,C6,P3b
TIAM-ECN 1.1,EN_INDCi2030_900,C3,P3b
TIAM-ECN 1.1,EN_INDCi2030_900f,C3,P3b
TIAM-ECN 1.1,EN_INDCi2100,C7,P1c
TIAM-ECN 1.1,EN_INDCi2100_COV,C7,P1c
TIAM-ECN 1.1,EN_INDCi2100_NDCp,C7,P1c
TIAM-ECN 1.1,EN_NPi2020_1000,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_1000_COV,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_1000f,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_1000f_COV,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_1200,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_1200f,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_1400,C4,P2a
TIAM-ECN 1.1,EN_NPi2020_1400f,C4,P2a
TIAM-ECN 1.1,EN_NPi2020_1600,C4,P2a
TIAM-ECN 1.1,EN_NPi2020_1600f,C5,P2a
TIAM-ECN 1.1,EN_NPi2020_2000,C5,P2a
TIAM-ECN 1.1,EN_NPi2020_2000f,C5,P2a
TIAM-ECN 1.1,EN_NPi2020_2500,C5,P2a
TIAM-ECN 1.1,EN_NPi2020_2500f,C5,P2a
TIAM-ECN 1.1,EN_NPi2020_3000,C6,P2a
TIAM-ECN 1.1,EN_NPi2020_3000f,C6,P2a
TIAM-ECN 1.1,EN_NPi2020_800,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_800f,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_900,C3,P2a
TIAM-ECN 1.1,EN_NPi2020_900f,C3,P2a
TIAM-ECN 1.1,EN_NPi2100,C7,P1b
TIAM-ECN 1.1,EN_NPi2100_COV,C7,P1b
WITCH 5.0,CO_2Deg2020,C3,P2a
WITCH 5.0,CO_2Deg2030,C3,P3b
WITCH 5.0,CO_BAU,C7,P1a
WITCH 5.0,CO_Bridge,C3,P3c
WITCH 5.0,CO_CurPol,C7,P1b
WITCH 5.0,CO_GPP,C5,P1d
WITCH 5.0,CO_NDC_2050convergence,C5,P1d
WITCH 5.0,CO_NDCplus,C6,P1c
WITCH 5.0,EN_INDCi2030_1000,C3,P3b
WITCH 5.0,EN_INDCi2030_1000_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_1000f,C3,P3b
WITCH 5.0,EN_INDCi2030_1000f_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_1200,C4,P3b
WITCH 5.0,EN_INDCi2030_1200_NDCp,C4,P3b
WITCH 5.0,EN_INDCi2030_1200f,C4,P3b
WITCH 5.0,EN_INDCi2030_1200f_NDCp,C4,P3b
WITCH 5.0,EN_INDCi2030_1400,C4,P3b
WITCH 5.0,EN_INDCi2030_1400_NDCp,C4,P3b
WITCH 5.0,EN_INDCi2030_1400f,C4,P3b
WITCH 5.0,EN_INDCi2030_1400f_NDCp,C4,P3b
WITCH 5.0,EN_INDCi2030_1600,C5,P3b
WITCH 5.0,EN_INDCi2030_1600_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_1600f,C5,P3b
WITCH 5.0,EN_INDCi2030_1600f_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_1800,C5,P3b
WITCH 5.0,EN_INDCi2030_1800_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_1800f,C5,P3b
WITCH 5.0,EN_INDCi2030_1800f_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_2000,C5,P3b
WITCH 5.0,EN_INDCi2030_2000_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_2000f,C5,P3b
WITCH 5.0,EN_INDCi2030_2000f_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_2500,C5,P3b
WITCH 5.0,EN_INDCi2030_2500_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_2500f,C5,P3b
WITCH 5.0,EN_INDCi2030_2500f_NDCp,C5,P3b
WITCH 5.0,EN_INDCi2030_3000,C6,P3b
WITCH 5.0,EN_INDCi2030_3000_NDCp,C6,P3b
WITCH 5.0,EN_INDCi2030_3000f,C6,P3b
WITCH 5.0,EN_INDCi2030_3000f_NDCp,C6,P3b
WITCH 5.0,EN_INDCi2030_500f,C2,P3b
WITCH 5.0,EN_INDCi2030_600f,C3,P3b
WITCH 5.0,EN_INDCi2030_600f_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_700f,C3,P3b
WITCH 5.0,EN_INDCi2030_700f_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_800,C3,P3b
WITCH 5.0,EN_INDCi2030_800_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_800f,C3,P3b
WITCH 5.0,EN_INDCi2030_800f_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_900,C3,P3b
WITCH 5.0,EN_INDCi2030_900_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2030_900f,C3,P3b
WITCH 5.0,EN_INDCi2030_900f_NDCp,C3,P3b
WITCH 5.0,EN_INDCi2100,C6,P1c
WITCH 5.0,EN_INDCi2100_NDCp,C6,P1c
WITCH 5.0,EN_NPi2020_1000,C3,P2a
WITCH 5.0,EN_NPi2020_1000f,C3,P2a
WITCH 5.0,EN_NPi2020_1200,C4,P2a
WITCH 5.0,EN_NPi2020_1200f,C4,P2a
WITCH 5.0,EN_NPi2020_1400,C4,P2a
WITCH 5.0,EN_NPi2020_1400f,C4,P2a
WITCH 5.0,EN_NPi2020_1600,C4,P2a
WITCH 5.0,EN_NPi2020_1600f,C4,P2a
WITCH 5.0,EN_NPi2020_1800,C5,P2a
WITCH 5.0,EN_NPi2020_1800f,C5,P2a
WITCH 5.0,EN_NPi2020_2000,C5,P2a
WITCH 5.0,EN_NPi2020_2000f,C5,P2a
WITCH 5.0,EN_NPi2020_2500,C5,P2a
WITCH 5.0,EN_NPi2020_2500f,C5,P2a
WITCH 5.0,EN_NPi2020_3000,C6,P2a
WITCH 5.0,EN_NPi2020_3000f,C6,P2a
WITCH 5.0,EN_NPi2020_400f,C1,P2a
WITCH 5.0,EN_NPi2020_450,C1,P2a
WITCH 5.0,EN_NPi2020_450f,C1,P2a
WITCH 5.0,EN_NPi2020_500,C1,P2a
WITCH 5.0,EN_NPi2020_500f,C1,P2a
