"Model","Scenario","Region","Variable","Unit","X1990","X1995","X2000","X2005","X2007","X2008","X2010","X2011","X2012","X2013","X2014","X2015","X2018","X2020","X2021","X2022","X2023","X2024","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100","X2110","X2130","X2150","Category","Policy_category"
"AIM/CGE 2.2","EN_INDCi2030_1200","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5780.954,5952.917,6119.3257,6280.2139,6445.895,6623.6549,6803.2058,6977.354,7145.6303,7313.5737,7485.4038,7658.717,7828.9255,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,9501.4134,10604.8288,11528.9583,12142.8057,12691.8588,13633.1267,14716.7896,15777.9429,16788.3932,17765.2107,18771.8788,19809.3013,20827.5129,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25674.0875,27381.159,28946.0045,30417.3867,31906.7305,33549.2222,35142.073,36692.2914,38262.5177,39747.8829,41170.1598,42540.3337,43852.131,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7644.6839,8451.6012,9225.6171,9986.9902,10705.3916,11438.6482,12193.4957,12964.4823,13735.5314,14506.444,15271.2443,16050.1614,16839.8908,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,62021.0307,69733.1296,75373.7164,79045.9262,81264.006,83501.6301,85366.7044,86573.9961,87669.892,88194.1174,88606.4813,88774.9514,88834.8499,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25691.6748,27894.3011,30089.9545,32317.2793,34594.7187,37093.6047,39751.8417,42367.1281,44979.9384,47672.5331,50384.9252,53136.3913,55902.6429,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,24337.1954,29837.1377,35730.281,41840.3308,47687.321,54060.8771,61049.8195,68211.1863,75611.5889,83291.7954,91327.7742,99353.7103,107087,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5795.376,5969.0222,6130.8089,6294.5752,6447.1038,6615.1242,6800.0225,6969.6543,7138.8057,7311.246,7484.0169,7658.1548,7829.5635,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,9706.5846,10851.7249,11714.6805,12366.7134,12806.9153,13661.9438,14773.6248,15755.7272,16687.4987,17688.64,18712.828,19764.587,20783.8682,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1200f","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25747.4619,27471.429,29012.5965,30496.968,31931.4873,33533.1817,35141.7829,36661.7075,38211.0002,39707.7543,41140.9425,42517.3821,43836.2117,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7659.845,8465.6049,9233.662,9997.644,10744.4051,11447.1469,12201.7745,12981.7191,13765.1954,14535.742,15295.665,16069.9457,16860.6106,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,62401.0179,70083.9417,75544.4998,79228.964,81756.6268,83496.2154,85258.478,86497.7654,87527.1199,88007.796,88416.9255,88568.0824,88635.6247,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25721.8396,27922.7383,30109.5526,32343.8017,34693.8371,37126.1536,39763.5175,42399.1621,45067.9189,47739.6207,50438.8453,53173.1952,55933.3576,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,24481.1893,29987.1837,35839.4674,41987.1024,48254.2333,54364.9122,61293.6638,68455.3431,76210.6824,83902.3927,91925.3336,99894.2864,107664,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5801.4908,5974.2865,6133.1083,6298.4707,6463.9653,6616.8806,6797.7894,6970.6133,7139.1181,7307.0718,7478.8295,7650.4082,7821.423,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,9798.0106,10934.2381,11772.1169,12446.0963,13062.5311,13741.7872,14818.4918,15831.282,16839.5072,17814.9914,18822.2375,19861.7812,20873.966,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25779.8342,27500.0797,29029.0438,30519.2181,32022.9475,33556.0514,35147.1904,36681.5976,38255.2304,39745.4622,41170.9579,42536.8124,43852.1293,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400f","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7685.2102,8482.0652,9246.4224,10011.111,10763.5577,11482.6583,12219.3594,12998.7202,13756.3769,14516.1986,15275.3209,16048.5563,16839.6822,NA,NA,NA,"C4","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1400f","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,63022.0318,70388.817,75726.5927,79376.9313,81945.5675,83877.6038,85273.2008,86514.0527,87486.9653,88088.5191,88572.3836,88737.0484,88798.3456,NA,NA,NA,"C4","P3b"
